A8iBUUmfkNg	NA	151.0	The Advent of the Sacred with John Vervaeke 
q7uXGZSu0xc	NA	6743.0	Wayfaring towards Wisdom through the Literary Canon with John Vervaeke
0YZblvvv80c	NA	512.0	Thoughts on Callum Powell from a survivor of CSA
YxInznfCp7o	NA	2257.0	Primal Parkour and Climbing with Leo Urban and Barefoot Charles
1OW9B1gat3A	NA	182.0	Of Wisdom, politics and speaking with the dead
_Kayn0WG8uQ	NA	3480.0	The Feminism of Care Vs Machine Cvilization with Mary Harrington
mMJVWovgQwQ	NA	6445.0	My Radical Soul Recovery with Chandler Stevens
qoYMb6NVMo8	NA	4713.0	The Reality of Value Vs the Age of Transhumanism with Zak Stein
PIDIgbWq6Bg	NA	5494.0	A Unified Theory of Knowledge with Gregg Henriques
dmAjIjzb_CQ	NA	1324.0	The Art of Tree Climbing like Tarzan with Victor Fleites
nufFrjOp-MM	NA	1914.0	I Went Tree Climbing And Cliff Jumping With The Real-Life Tarzan | Leo Urban
9wjg5zEr_2k	NA	5346.0	The FORGOTTEN Secret to Explosive Jumping Power (Not What You Think) with Matt McInnes Watson
QH2TdqMwo9c	NA	6102.0	Is it time to transcend the Postmodern | With Brendan Graham Dempsey
aUVVDyJUDdw	NA	6834.0	The Movement Code Hidden in Your DNA – With David Weck
W-s24f_VBGA	NA	6471.0	Why Science Needs Spirituality (More Than Ever): John Vervaeke Breaks It Down
vx3Rmj6vVDs	NA	1437.0	The Rod, Rock & Rope Daily Movement Practice
9wBtFrPuyd0	NA	480.0	Climbing trees like Tarzan, with parkour stars Olof Wood and Levi Meeuwenberg
jkgfOEmaPdI	NA	706.0	How To Climb Trees Part 3: Mastering the Canopy
JgW5pHHL4js	NA	968.0	How To Climb Trees Part Two - Climbing Vertical Trunks
XSyxEhq_gt8	NA	726.0	How to Tree Climb Like Trees Like Tarzan
4JmC6eiDiuc	NA	5092.0	Circling and Evolve Move Play with Guy Sengstock and Kyle Koch
dPhO7G3cSwU	NA	4988.0	Play, Parenting and Culture with Beth Kelley
E_JO4dkQuUI	NA	6298.0	The Search for Healing and Meaning with TIM SHIEFF | EMP Podcast 143
WR9ceEOqG4c	NA	145.0	The Five Fundamental Reconnections for a More Meaningful Life | EMP Illustrated
THXpJhYX68c	NA	205.0	Allow Your Kids to Wrestle! Jordan Peterson and Rafe Kelley on Raising Strong and Empathetic Kids
h927ykCVSPw	NA	5933.0	Finding Balance in Training and Life with FLYNN DISNEY | EMP Podcast 142
x49uSWYToRM	NA	3726.0	Cultivating Character Through Movement and Nature with KYLE KOCH | EMP Podcast 141
BDVmxFmNpmE	NA	5540.0	Psychedelics and Healing the Meta-Crisis with ALEXANDER BEINER | EMP Podcast 140
h9H_Yih4X6U	NA	5709.0	Rediscovering Play, Risk, and Authentic Practice with JASON C. BROWN | EMP Podcast 139
hj3R-Rxym_Q	NA	5637.0	Yoga of Connection with AARON CANTOR | EMP Podcast 138
U3omOoJGybA	NA	5768.0	Embodiment, Faith, and the Meta Crisis with JORDAN HALL | EMP Podcast 137
M3f_qAJ-OGA	NA	6364.0	Unleashing Fluidity: The Science and Art of Soft Acrobatics with AARON MARTIN | EMP Podcast 136
npSOkEo6Udw	NA	5312.0	Exploring the Intersections of Philosophy, Nature, and Self with BONNITTA ROY | EMP Podcast 135
-yq8pefAy0A	NA	4692.0	Embracing Fluidity in Motion with NIL TEISNER | EMP Podcast 134
0fZSJkSvywE	NA	6435.0	The Rejection of Nature and the Need for a Return with JONATHAN PAGEAU | EMP Podcast 133
r2gsxPKDDJU	NA	5188.0	Bridging Body and Mind: A Deep Dive with ETHAN HSIEH | EMP Podcast 132
rD5cx8sIQSk	NA	5291.0	Redefining Masculinity and the Evolving Role of Men with WARREN FARRELL Part II | EMP Podcast 131
5GyFBBknuoQ	NA	2572.0	Redefining Masculinity and the Evolving Role of Men with WARREN FARRELL Part I | EMP Podcast 130
SHPJoAiQTxc	NA	6574.0	Sharing the Wisdom of Natural Movement with BEN MEDDER | EMP Podcast 129
UuKe2dPDtfw	NA	3724.0	Matters of Masculinity with ROB HENDERSON | EMP Podcast 128
zbv2UUiVobw	NA	6609.0	Finding A Better Story? Review the ARC conference with PAUL VANDER KLAY | EMP Podcast 127
QRYjwy3k_7g	NA	6383.0	Crafting Wisdom Through Movement with Joseph Bartz | EMP Podcast 126
LP0S2PUEDho	NA	331.0	PARKOUR & MOVEMENT TRAINING | High Up & Over the Trees
bDNW9F2VXDg	NA	6514.0	Attunement in the Ecology of Movement with Evolve Move Play
ocbAgwM9U4M	NA	78.0	Evolve Move Play - Natural Parkour in Volunteer Park
wWx2x3wf7wc	NA	6177.0	Reclaiming Our Vital Connection to Nature with LEO URBAN | EMP Podcast 124
z6y2CTeygNc	NA	4876.0	Building a Game B Society with JIM RUTT | EMP Podcast 123
-70R7Q3fONE	NA	5329.0	Improve How You Move with DAVID GREY | EMP Podcast 122
aI4c94Kww-g	NA	7275.0	Movement for Meaning and Self Mastery with MASA SUZUKI | EMP Podcast 121
wUUgDWT2JqM	NA	6056.0	The Philosophy and Early Days of Parkour with Julian Donovan | EMP Podcast 120
Od7tMOnvofg	NA	6855.0	Building Athletic Strength The Smart Way with CLIFTON HARSKI | EMP Podcast 119
yxo4nt40Onw	NA	3985.0	Embracing the Human Animal with Victor Fleites @Tarzan_Movement | EMP Podcast 118
1yLcncbsWQ0	NA	5965.0	Reenchanting the Earth with Chandler Stevens & Dave Wardman | EMP Podcast 117
ijvdh1DREGU	NA	7103.0	The Martial Art Journey with ROKAS LEONAVICIUS | EMP Podcast 116
FLhZ0zs6ADk	NA	4780.0	Improving Athletic Performance Through Play with AUSTIN JOCHUM | EMP Podcast 115
xSf8FkS3bq8	NA	4347.0	How to Build an Independent Athlete with BOBBY WHYTE | EMP Podcast 114
