pu0feSX4qh8	Animal Bites and Insects
ohKowP1Posc	How to help Concussion in Sport |  Adult First Aid  | EMT First Aid Training |
ezLmv6ksiAA	Electrocution |  Adult First Aid  | EMT First Aid Training |
U-NimqP2Ev4	Sprains and Strains |  Adult First Aid  | EMT First Aid Training
_doDuU-FzTY	Hypothermia |  Adult First Aid  | EMT First Aid Training
w5eqBMoTGcE	Poisoning |  Adult First Aid  | EMT First Aid Training |
tFwJUPSU6Fw	Bites and stings from the sea|  Adult First Aid  | EMT First Aid Training |
5Ar9386jn_E	Insect Bites and Stings |  Adult First Aid  | EMT First Aid Training |
NMQo-0kbX84	Snake Bites |  Health and Safety   | EMT First Aid Training |
WBNLB4SUqZk	How to treat someone having an Asthma attack |  Adult First Aid  | EMT First Aid Training
5bzqZ7ajeCQ	What is a SPINAL injury, How do you get a SPINAL injury and HOW to treat a SPINAL injury.
bV1WWhv-_Ag	What is ASTHMA and how to treat it as a FIRST AIDER
