id	reason	title
0w7xf-HSG6o	post-mortem decomposition	Where Your Body Goes After Burial — 100 Years in 30 Minutes
OCOdeRfhYUE	metaphysics — relativity and death	Death May Be a Misunderstanding — What Relativity Actually Says
9e9APoYO2MU	metaphysics — why anything exists	Why Is There Something Rather Than Nothing?
7rDQAHs1paM	metaphysics — improbability of existence	Why YOUR EXISTENCE Is the Rarest Thing in the Universe
7EgV7ms7xTU	metaphysics — memory after death	Can Your Memories Survive DE*TH? — Physics Has The Answer
HdSzogi-x3w	physics — electrical conduction	Why Electricity Doesn't Flow Through Wires?
2On4u6pNnaU	botany — tree biology	Where Do Trees Come From? - Richard Feynman
q_J8LrPOjoY	physics — properties of water	Is Water the Most Dangerous Molecule on Earth?
VwRgijBm6kk	metaphysics — energy after death	Where Does YOUR ENERGY Go When You Die? - Physics Has The Answer
Fm5dlA2MMbY	physics — nuclear blast	What Happens to Your Atoms in a Nuclear Blast? — Feynman Explains
xKz0XJw79R8	post-mortem — cremation and DNA	Can Cremation Destroy Your DNA?
93RkAyNoz9A	quantum theories of consciousness	Why Consciousness is a Quantum Phenomenon?
fdFsDiQFTFs	physics — combustion	What a FLAME Actually Is?
hHTVbWELwqY	physics — atomic structure	Why ELECTRONS Don't Fall Into the Nucleus
GviiD1a4bbM	physics — zero-point vibration	The SOUND Your Atoms Make — Why Everything Vibrates at Absolute Zero
EJkFixZIlsw	post-mortem decomposition	What Happens to Your Body in the First 72 Hours After Death
3b1Tj0SbPYI	post-mortem — cremation vs burial	Cremation vs. Burial — Which Returns You to the Universe Faster?
dAEsOqnMsyc	metaphysics — personal identity	Can the Same Pattern of Atoms Create YOU Again? — The Physics of Identity
EKXCuqE2QRk	metaphysics — consciousness after death	Where Does Consciousness Go After Death?
GYHJYZgnW3U	metaphysics — cognition without a brain	Can You Think Without a Brain?
7Id25KkupFo	biographical	Feynman's Last Message to the World
P6xIOcV1siw	metaphysics — death	Where Do You GO After You Stop Being Alive?
MEDNsDnQUZM	physics — general relativity	What Happens When Space-Time Bends? — Feynman on Gravity
ZbbNPpfRbrk	metaphysics — matter and identity	You’re Not Actually Made of Matter — Here’s Why
sP_6mtYPcVY	physics — arrow of time	Feynman Explains Why Time Only Moves Forward
EvBgcC5Ps_g	quantum biology, not human physiology	How Quantum Mechanics Makes Life Possible
VS4TD9BcVKo	metaphysics — dreams and reality	What Your Dreams Say About Reality Itself
NUzrRI_V3lU	philosophy — free will	The Illusion of Free Will Explained by Feynman
T7QkjKjVfcc	physics — geomagnetism	Feynman's PROOF Earth's Core Is NOT A Magnet
IrsNj9rADqA	physics — interstellar travel	Interstellar Travel Is IMPOSSIBLE — The Math Proves It
liSEa7clRlg	philosophy — machine cognition	Can Machines THINK? - Richard Feynman
nK8wsFFuEaY	physics — magnetism	Richard Feynman's PROOF That Magnets Do NOT Attract
DFAaQcTZUsg	physics — geomagnetism	Why Does Your Compass NEVER Point East?
NAFhLOuL3Qs	physics — black holes	What If You Fell Into a Black Hole?
zMgHxkfScqQ	philosophy — nature of thought	ONLY Feynman Can Explain What a THOUGHT Actually Is
z8O6eIOOfEo	post-mortem — cremation	What Happens to Your ATOMS After You're Cremated? — Feynman's Physics of Death
EfZ7pc0Eci8	cosmology — symmetry breaking	The Universe Is Broken - That's Why You Exist
aq0LESwp3sc	physics — foundations of quantum mechanics	The Experiment That Proves Reality Isn't Real
DTkdiVJ7ap0	physics — stellar fusion	The Sun Breaks the Laws of Physics Every Second
RJImwcmyLk8	physics — quantum entanglement	What Einstein Got WRONG About Quantum Entanglement?
KEIVgsgbDIw	physics — speed of light	Is LIGHT SPEED The Limit?
Me-iusRI7bM	physics — origin of mass	Why Does Anything Have Mass?
lkKacsNy17w	physics — optics	Light is not What You See
hCfY71UAsnk	physics — magnetism	What Is MAGNETISM, Actually? (ONLY Feynman Can Explain)
tULEZUsK9vE	physics — gravity	What Everyone Gets Wrong About GRAVITY
lKuFLqComqg	physics — speed of light	The SPEED LIMIT of The Universe - Why Nothing Goes Faster?
_8QWXUdOb-k	physics — nuclear energy	The INSANE Power Hidden Inside an Atom - Richard Feynman
iNPKfzj1nvI	physics — QED / time travel	The TIME TRAVEL PROOF That Won Feynman a Nobel Prize
bCxddWwf1vM	physics — nature of time	What Is TIME? - ONLY Feynman Can Explain
N0J1g_P-4Oc	metaphysics — nature of reality	What is Reality? (ONLY Feynman Can Explain)
XlP7Xihx2F8	physics — geomagnetism	Feynman Explains the INSANE Truth About Earth's Magnetic Field
tPfw6iBk3J0	physics — gravitational waves	What Are GRAVITATIONAL WAVES, Actually?
5fVEpT-Gphw	physics — atmospheric scattering	NO ONE Can Explain Why the Sky is Blue Like Richard Feynman
rOgdevbhEMk	physics — vacuum	What Is NOTHING? Only Feynman Can Explain
ppMhVzoMkls	physics — magnetism	What Is MAGNETISM?
lsXWDBoUiwQ	physics — nature of time	NO ONE Can Explain TIME Like Richard Feynman
